what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1242303981656
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1242303981671
started,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20081201,org.eclipse.dltk.validators.ui,1242303981984
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20081027,org.eclipse.dltk.validators.core,1242303981984
started,bundle,org.eclipse.dltk.validators.externalchecker,0.95.1.v20081006,org.eclipse.dltk.validators.externalchecker,1242303981984
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303984031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242304000828
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.deleteResources,1242304000828
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1242304000828
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242304054203
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242304055062
started,bundle,org.eclipse.dltk.mylyn,1.0.0.v20080917-1720,org.eclipse.dltk.mylyn,1242304055093
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1242304055156
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1242304055171
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1242304055234
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1242304055250
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242304055343
stopped,bundle,org.eclipse.dltk.mylyn,1.0.0.v20080917-1720,org.eclipse.dltk.mylyn,1242304056968
stopped,bundle,org.eclipse.dltk.ruby.testing,1.0.0.v20081111,org.eclipse.dltk.ruby.testing,1242304056984
stopped,bundle,org.eclipse.dltk.ruby.debug.ui,1.0.0.v20081114,org.eclipse.dltk.ruby.debug.ui,1242304056984
stopped,bundle,org.eclipse.dltk.ruby.formatter,1.0.0.v20081101,org.eclipse.dltk.ruby.formatter,1242304056984
stopped,bundle,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui,1242304056984
stopped,bundle,org.eclipse.dltk.ruby.activestatedebugger,1.0.0.v20081105,org.eclipse.dltk.ruby.activestatedebugger,1242304056984
stopped,bundle,org.eclipse.dltk.ruby.basicdebugger,1.0.0.v20081105,org.eclipse.dltk.ruby.basicdebugger,1242304057015
stopped,bundle,org.eclipse.dltk.ruby.fastdebugger,1.0.0.v20081105,org.eclipse.dltk.ruby.fastdebugger,1242304057046
