what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1242303784234
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1242303784250
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1242303784281
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303787359
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303793765
started,bundle,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui,1242303793796
started,bundle,org.eclipse.dltk.core,1.0.0.v20081228,org.eclipse.dltk.core,1242303793921
started,bundle,org.eclipse.debug.core,3.4.1.v20090106_r342,org.eclipse.debug.core,1242303793984
started,bundle,org.eclipse.dltk.launching,1.0.0.v20081208,org.eclipse.dltk.launching,1242303793984
started,bundle,org.eclipse.dltk.ui,1.0.0.v20081228,org.eclipse.dltk.ui,1242303793984
opened,view,org.eclipse.dltk.ui,1.0.0.v20081228,org.eclipse.dltk.ui.ScriptExplorer,1242303794171
activated,perspective,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui.RubyPerspective,1242303794203
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ProblemView,1242303794250
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1242303794265
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.perspectives.showPerspective,1242303794265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303800656
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303814796
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303820015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303839515
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.import,1242303839515
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303845421
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303855390
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk.update,1242303855390
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303857406
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242303867156
