what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1242304187390
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,org.tigris.subversion.subclipse.ui,1242304187421
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20081027,org.eclipse.dltk.validators.core,1242304188046
started,bundle,org.eclipse.dltk.validators.externalchecker,0.95.1.v20081006,org.eclipse.dltk.validators.externalchecker,1242304188218
activated,view,org.eclipse.dltk.ui,1.0.0.v20081228,org.eclipse.dltk.ui.ScriptExplorer,1242304188609
started,bundle,org.eclipse.dltk.ruby.formatter,1.0.0.v20081101,org.eclipse.dltk.ruby.formatter,1242304210281
started,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20081201,org.eclipse.dltk.validators.ui,1242304210484
opened,editor,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui.editor.RubyEditor,1242304210718
activated,editor,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui.editor.RubyEditor,1242304210828
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1242304216265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242304217703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242304218531
started,bundle,org.eclipse.dltk.mylyn,1.0.0.v20080917-1720,org.eclipse.dltk.mylyn,1242304218546
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1242304218562
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1242304218562
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1242304218578
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1242304218593
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1242304218734
stopped,bundle,org.eclipse.dltk.mylyn,1.0.0.v20080917-1720,org.eclipse.dltk.mylyn,1242304218968
stopped,bundle,org.eclipse.dltk.ruby.testing,1.0.0.v20081111,org.eclipse.dltk.ruby.testing,1242304218968
stopped,bundle,org.eclipse.dltk.ruby.debug.ui,1.0.0.v20081114,org.eclipse.dltk.ruby.debug.ui,1242304218968
stopped,bundle,org.eclipse.dltk.ruby.formatter,1.0.0.v20081101,org.eclipse.dltk.ruby.formatter,1242304218968
stopped,bundle,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui,1242304219000
stopped,bundle,org.eclipse.dltk.ruby.activestatedebugger,1.0.0.v20081105,org.eclipse.dltk.ruby.activestatedebugger,1242304219000
stopped,bundle,org.eclipse.dltk.ruby.basicdebugger,1.0.0.v20081105,org.eclipse.dltk.ruby.basicdebugger,1242304219000
